PromotionKey,PromotionName,DiscountPercentage
1,No Promotion,0
2,Summer Sale,15
3,Black Friday,30
4,Ramadan Offers,20
5,Back To School,10
6,New Year Sale,25
7,Eid Offers,20
8,White Friday,35
9,Cyber Monday,30
10,Spring Sale,10
11,Winter Clearance,25
12,Weekend Deal,5
13,Flash Sale,40
14,Loyalty Reward,10
15,Student Discount,15
16,Corporate Deal,12
17,Bundle Offer,18
18,Clearance Sale,30
19,Anniversary Sale,22
20,Mother's Day Offer,15
21,Valentine Offer,10
22,National Day Sale,25
23,Founding Day Offer,20
24,Mid Year Sale,20
25,End of Season Sale,28
26,Online Exclusive,12
27,App Only Deal,8
28,First Purchase Offer,10
29,Trade-In Bonus,15
30,Gaming Fest,18
31,Laptop Days,15
32,Mobile Mania,20
33,Audio Fest,12
34,TV Deals,22
35,Camera Week,15
36,Accessories Sale,10
37,Gift Season,20
38,Super Saver,25
39,Mega Deal,35
40,Prime Offer,18
