SalesID,DateKey,CustomerKey,ProductKey,StoreKey,EmployeeKey,PromotionKey,Quantity,UnitPrice,Discount,SalesAmount,Cost,Profit,Performance
1,20210924,2995,557,47,125,1,1,1299.0,0.0,1299.0,779.4,519.6,Excellent
3,20210330,3560,139,3,55,18,1,1599.0,0.3,1119.3,1167.27,-47.97,Poor
4,20211116,4725,41,2,17,1,2,3123.75,0.0,6247.5,4404.49,1843.01,Good
5,20211113,3549,355,6,55,1,2,99.0,0.0,198.0,122.56,75.44,Excellent
17,20210620,1376,510,44,21,1,2,306.6,0.0,613.2,486.27,126.93,Good
18,20210208,1256,491,47,204,1,2,1146.15,0.0,2292.3,1551.89,740.41,Excellent
22,20210305,2908,601,47,210,1,2,2299.0,0.0,4598.0,3558.85,1039.15,Good
28,20210206,4648,179,11,203,40,1,1402.92,0.18,1150.39,1029.74,120.65,Average
32,20210414,4841,540,30,238,1,3,1953.85,0.0,5861.55,4642.35,1219.2,Good
33,20210109,931,19,50,48,6,2,778.8,0.25,1168.2,912.75,255.45,Good
36,20210824,4171,262,20,130,13,1,799.0,0.4,479.4,544.12,-64.72,Poor
42,20210303,4864,5,29,50,36,1,249.0,0.1,224.1,187.25,36.85,Average
45,20211105,3580,314,38,185,27,1,849.0,0.08,781.08,499.21,281.87,Excellent
51,20210112,911,76,48,53,27,1,3498.75,0.08,3218.85,2620.56,598.29,Good
61,20211014,1528,246,41,150,1,2,241.65,0.0,483.3,385.19,98.11,Good
64,20210424,2136,677,41,22,1,1,169.0,0.0,169.0,108.33,60.67,Excellent
71,20210713,1060,590,24,212,14,1,1499.0,0.1,1349.1,863.42,485.68,Excellent
75,20210915,4528,59,33,139,9,5,1148.85,0.3,4020.98,4560.93,-539.95,Poor
87,20210803,1674,598,37,40,1,5,1399.0,0.0,6995.0,5596.0,1399.0,Good
94,20210829,4773,604,33,28,1,1,329.0,0.0,329.0,196.74,132.26,Excellent
101,20211009,2900,244,48,130,26,2,1298.7,0.12,2285.71,1758.44,527.27,Good
102,20211201,2860,330,8,87,11,1,2339.1,0.25,1754.32,1840.87,-86.55,Poor
117,20210221,1451,606,46,139,1,3,1649.0,0.0,4947.0,3744.88,1202.12,Good
118,20211008,792,130,2,100,1,2,1948.7,0.0,3897.4,2954.23,943.17,Good
120,20210806,3570,132,9,187,19,1,479.0,0.22,373.62,288.84,84.78,Good
123,20210901,1922,386,19,136,5,3,1298.7,0.1,3506.49,2875.32,631.17,Good
126,20210709,1450,446,33,41,1,5,247.32,0.0,1236.6,978.15,258.45,Good
129,20210813,2513,554,16,4,28,1,999.0,0.1,899.1,735.26,163.84,Good
134,20211110,4422,129,7,165,1,2,449.0,0.0,898.0,588.19,309.81,Excellent
149,20210328,1768,511,45,117,1,1,861.35,0.0,861.35,521.98,339.37,Excellent
152,20211114,3331,2,49,35,28,4,1483.65,0.1,5341.14,3869.36,1471.78,Good
156,20210723,1907,225,13,86,12,2,629.1,0.05,1195.29,810.28,385.01,Excellent
159,20211218,2431,430,44,82,33,3,1428.7,0.12,3771.77,3068.85,702.92,Good
160,20210822,256,266,45,94,18,1,862.92,0.3,604.04,504.81,99.23,Average
162,20211120,731,291,32,123,1,1,3623.55,0.0,3623.55,2829.99,793.56,Good
163,20210809,1204,645,7,128,33,1,1799.0,0.12,1583.12,1401.42,181.7,Average
164,20210907,4615,368,43,28,21,1,69.0,0.1,62.1,41.06,21.04,Excellent
179,20211027,207,463,12,36,1,1,376.92,0.0,376.92,270.63,106.29,Good
183,20210106,1142,318,23,12,33,3,694.8,0.12,1834.27,1254.81,579.46,Excellent
