ProductKey,ProductName,Category,SubCategory,Brand
1,G502 X Blue,Accessories,Mice,Logitech
2,Galaxy Z Flip 6 1TB,Smartphones,Foldable Phones,SAMSUNG
3,iPhone 15 256GB,SMARTPHONES,Flagship Phones,apple
4,Alpha A7 IV Silver,CAMERAS,Mirrorless Cameras,SONY
5,Apple Watch SE Black,wearables,Smartwatches,apple
6,Galaxy Watch Ultra Silver,Wearables,Smartwatches,Samsung
7,Latitude 7450 i5 16GB,LAPTOPS,Business Laptops,Dell
8,WH-CH720N Black,Audio,Headphones,Sony
9,Galaxy Watch Ultra Black,wearables,Smartwatches,samsung
10,Watch S4 Black,wearables,Smartwatches,XIAOMI
11,Crystal UHD DU8000 65 inch,televisions, LED TVs,Samsung
12,Omen 16 i7 32GB,Laptops,Gaming Laptops,HP
13,Latitude 7450 i7 16GB,Laptops,Business Laptops,DELL
14,OLED C4 48 inch,Televisions,OLED TVs,lg
15,Gram 16 i9 32GB,Laptops,Ultrabooks,LG
16,Victus 15 i5 16GB,Laptops,Gaming Laptops,HP
17,iMac 24 Blue,Desktops,All-in-One,APPLE
18,Odyssey G9 34 inch,MONITORS,Gaming Monitors,Samsung
19,14T Pro 512GB,Smartphones,Mid-Range Phones,xiaomi
20,OLED C4 55 inch,Televisions,OLED TVs,LG
21,Neo QLED 8K QN900D 55 inch,TELEVISIONS,QLED TVs,Samsung
22,Inspiron 14 i5 16GB,Laptops,Business Laptops,Dell
23,Galaxy S24 Ultra 256GB,Smartphones,Flagship Phones,Samsung
24,ViewFinity S9 34 inch,Monitors,Professional Monitors,SAMSUNG
25,MacBook Air M4 i5 16GB,laptops,Ultrabooks,Apple
26,AirPods Max White,AUDIO,Headphones,Apple
27,Redmi Note 14 1TB,Smartphones,Mid-Range Phones,Xiaomi
28,TUF Gaming VG27 34 inch,Monitors,Gaming Monitors,ASUS
29,MacBook Pro 14 i5 16GB,laptops,Business Laptops,Apple
30,Galaxy Watch 7 Silver,WEARABLES,Smartwatches,Samsung
31,XPS 15 i7 16GB,laptops,Ultrabooks,Dell
32,ZV-E10 Blue,Cameras,Compact Cameras,Sony
33,The Frame 48 inch,TELEVISIONS,QLED TVs,SAMSUNG
34,UHD UR80 55 inch,Televisions,LED TVs,LG
35,Spectre x360 16 i5 16GB,Laptops,Ultrabooks ,HP
36,PlayStation 5,gaming,Consoles,Sony
37,Mac mini,Desktops,Mini PC,Apple
38,WF-1000XM5 Silver,AUDIO,Earbuds,Sony
39,S2722DGM 27 inch,Monitors,Gaming Monitors,DELL
40,Yoga 9i i7 32GB,Laptops,Ultrabooks,lenovo
41,Bravia 9 65 inch,TELEVISIONS,LED TVs,Sony
42,AirPods Max Silver,Audio,Headphones,Apple
43,Studio Display,Monitors,Professional Monitors,Apple
44,iPhone 16 Pro Max 512GB,smartphones,Flagship Phones,apple
45,iPhone 16 Pro 128GB,Smartphones,Flagship Phones,Apple
46,DualSense Controller Silver,Gaming,Controllers,sony
47,iPhone 16 Pro 256GB,SMARTPHONES,Flagship Phones,APPLE
48,Latitude 5540 i9 32GB,laptops,Business Laptops,dell
49,Redmi Note 14 128GB,Smartphones,Mid-Range Phones,Xiaomi
50,ROG Strix G16 i5 16GB,Laptops,Gaming Laptops,asus
51,PowerShot G7 X Mark III Silver,Cameras,Compact Cameras,canon
52,The Frame 77 inch,televisions,QLED TVs,Samsung
53,Latitude 5540 i7 32GB,LAPTOPS,Business Laptops,dell
54,iPhone 16 128GB,smartphones,Flagship Phones,Apple
55,iPhone 14 512GB,Smartphones, Mid-Range Phones,Apple
56,Gram 17 i5 16GB,laptops,Ultrabooks,LG
57,E24 Monitor 34 inch,monitors,Professional Monitors,HP
58,iPad Air 11 512GB Cellular,Tablets,Mid-Range Tablets ,Apple
59,MacBook Air M3 i7 16GB,Laptops,Ultrabooks,Apple
60,OLED C5 77 inch,televisions,OLED TVs,LG
61,AirPods Pro 2 Blue,audio,Earbuds,Apple
62,iPhone 16 Pro 1TB,Smartphones,Flagship Phones,Apple
63,K380 Blue,Accessories,Keyboards,Logitech
64,VivoBook 15 i9 32GB,Laptops,Business Laptops,asus
65,Galaxy Tab S10 Ultra 256GB WiFi,TABLETS,Premium Tablets,samsung
66,Galaxy Tab S10 128GB WiFi,Tablets,Mid-Range Tablets,SAMSUNG
67,EOS R50 Silver,cameras,Mirrorless Cameras,Canon
68,EOS R50 Blue,CAMERAS,Mirrorless Cameras,canon
69,iPad Pro 13 256GB Cellular,Tablets,Premium Tablets,Apple
70,ThinkPad X1 Carbon i7 32GB,Laptops,Business Laptops,Lenovo
71,G502 X White,Accessories,Mice,Logitech
72,IdeaPad Slim 3 i7 32GB,Laptops,Business Laptops,Lenovo
73,Alpha A7 IV White,CAMERAS,Mirrorless Cameras,Sony
74,VivoBook 15 i5 16GB,Laptops,Business Laptops,asus
75,Gram 17 i7 32GB,Laptops,Ultrabooks,LG
76,Bravia XR A95L OLED 65 inch,Televisions,OLED TVs,Sony
77,WH-1000XM5 Silver,Audio,Headphones,Sony
78,Alienware m18 i7 32GB,LAPTOPS,Gaming Laptops,Dell
79,K380 White,Accessories,Keyboards,Logitech
80,AirPods Pro 2 Silver,Audio,Earbuds,apple
81,Victus 15 i7 16GB,Laptops,Gaming Laptops,HP
82,iPhone 14 1TB,Smartphones,Mid-Range Phones,Apple
83,Galaxy Tab A9 128GB WiFi,tablets,Entry Tablets,SAMSUNG
84,G Pro X Superlight 2 White,Accessories,Mice,Logitech
85,iPhone 15 Pro Max 1TB,Smartphones,Flagship Phones,APPLE
86,Legion 5 i7 32GB,Laptops,Gaming Laptops,Lenovo
87,Galaxy Z Fold 6 512GB,Smartphones,Foldable Phones ,Samsung
88,Galaxy S24 512GB,smartphones,Flagship Phones,SAMSUNG
89,Galaxy S25 Plus 128GB,Smartphones,Flagship Phones,Samsung
90,Galaxy Tab S10 Ultra 512GB Cellular,tablets,Premium Tablets,Samsung
91,Galaxy S25 Plus 512GB,Smartphones,Flagship Phones,Samsung
92,Pavilion Aero 13 i5 16GB,laptops,Ultrabooks,HP
93,MX Master 3S Blue,Accessories,Mice,Logitech
94,UltraWide 34WP 32 inch,Monitors,Professional Monitors,LG
95,Aspire 5 i7 32GB,Laptops,Business Laptops,Acer
96,Galaxy Buds 3 Pro Blue,Audio,Earbuds,SAMSUNG
97,Alienware x16 i9 32GB,LAPTOPS,Gaming Laptops,DELL
98,iPhone 16 Plus 1TB,SMARTPHONES,Flagship Phones,Apple
99,WH-1000XM5 White,audio,Headphones,Sony
100,ROG Swift PG27 32 inch,Monitors,Gaming Monitors,ASUS
101,Predator Helios 16 i9 32GB,LAPTOPS,Gaming Laptops,acer
102,ThinkPad X1 Yoga i9 32GB,LAPTOPS,Business Laptops,Lenovo
103,MX Anywhere 3S Silver,Accessories,Mice,Logitech
104,iPad 10th Gen 256GB Cellular,Tablets,Entry Tablets,Apple
105,iPad Pro 13 512GB Cellular,TABLETS,Premium Tablets,apple
106,iPhone 16 Pro 512GB,Smartphones,Flagship Phones,Apple
107,Pad 6 256GB WiFi,tablets, Mid-Range Tablets,Xiaomi
108,MX Anywhere 3S Black,accessories,Mice,LOGITECH
109,Nitro 5 i5 16GB,LAPTOPS,Gaming Laptops,Acer
110,Apple Watch SE Silver,WEARABLES,Smartwatches,APPLE
111,Omen 16 i9 32GB,Laptops, Gaming Laptops,HP
112,UHD UR80 65 inch,Televisions,LED TVs,lg
113,MX Keys S Silver,Accessories,Keyboards,logitech
114,IdeaPad 5 i5 16GB,laptops,Business Laptops,Lenovo
115,AirPods Pro 2 Black,audio,Earbuds,apple
116,Legion 5 i7 16GB,laptops,Gaming Laptops,LENOVO
117,Alpha A7C II Blue,Cameras,Mirrorless Cameras,sony
118,UltraWide 34WP 27 inch,Monitors,Professional Monitors,lg
119,Gram 17 i9 32GB,laptops, Ultrabooks,LG
120,Galaxy A56 128GB,Smartphones,Mid-Range Phones,Samsung
121,Galaxy Watch 7 White,Wearables,Smartwatches,SAMSUNG
122,Smart Band 9 Silver,WEARABLES,Fitness Bands,XIAOMI
123,Galaxy S24 1TB,Smartphones,Flagship Phones,SAMSUNG
124,Bravia 9 55 inch,TELEVISIONS,LED TVs,Sony
125,Legion Pro 5 i7 32GB,Laptops,Gaming Laptops ,Lenovo
126,14 Ultra 128GB,Smartphones,Flagship Phones,Xiaomi
127,Redmi Note 14 Pro 512GB,Smartphones,Mid-Range Phones,Xiaomi
128,G15 Gaming i9 32GB,Laptops,Gaming Laptops,DELL
129,iPad 10th Gen 128GB WiFi,tablets,Entry Tablets,Apple
130,XPS 15 i7 32GB,Laptops,Ultrabooks,Dell
131,UltraSharp U2723QE 34 inch,Monitors,Professional Monitors,Dell
132,EOS R100 Black,Cameras,Compact Cameras,CANON
133,Inspiron 14 i7 16GB,laptops,Business Laptops,Dell
134,MacBook Air M3 i5 16GB,laptops,Ultrabooks,apple
135,Bravia 9 77 inch,televisions,LED TVs,Sony
136,EOS R5 White,Cameras,Mirrorless Cameras,canon
137,iPhone 16 Plus 256GB,Smartphones,Flagship Phones,Apple
138,ZenBook 14 OLED i5 16GB,LAPTOPS,Ultrabooks,ASUS
139,Predator Triton 14 i5 16GB,Laptops,Gaming Laptops,ACER
140,Galaxy A16 512GB,SMARTPHONES,Budget Phones,Samsung
141,RF 50mm F1.8,Cameras,Lenses,Canon
142,iPhone SE 256GB,SMARTPHONES,Mid-Range Phones ,APPLE
143,WH-1000XM6 Black,audio,Headphones,Sony
144,Legion Pro 5 i7 16GB,Laptops,Gaming Laptops,LENOVO
145,Buds 5 Black,Audio,Earbuds,xiaomi
146,XPS 13 i7 16GB,laptops,Ultrabooks,Dell
147,Nitro XV272 27 inch,Monitors,Gaming Monitors,acer
148,ProArt Studiobook i7 16GB,Laptops,Business Laptops,asus
149,XPS 17 i7 16GB,LAPTOPS,Ultrabooks,Dell
150,MX Mechanical White,accessories,Keyboards,Logitech
151,LOQ 15 i5 16GB,Laptops,Gaming Laptops,lenovo
152,Galaxy Watch Ultra White,wearables,Smartwatches,samsung
153,Galaxy A36 128GB,Smartphones,Mid-Range Phones,Samsung
154,TUF Gaming A15 i9 32GB,Laptops,Gaming Laptops,asus
155,OLED C5 65 inch,TELEVISIONS,OLED TVs,LG
156,14T Pro 128GB,SMARTPHONES, Mid-Range Phones,xiaomi
157,Redmi Note 14 256GB,Smartphones,Mid-Range Phones,Xiaomi
158,Galaxy A36 256GB,Smartphones,Mid-Range Phones,Samsung
159,ThinkPad T14 i5 16GB,LAPTOPS,Business Laptops,Lenovo
160,iPhone SE 1TB,Smartphones,Mid-Range Phones,Apple
161,MacBook Air M4 i7 16GB,laptops,Ultrabooks,Apple
162,XPS 17 i7 32GB,Laptops,Ultrabooks,dell
163,iPhone 15 512GB,Smartphones,Flagship Phones,apple
164,Galaxy S24 256GB,Smartphones,Flagship Phones,Samsung
165,Pavilion 15 i9 32GB,Laptops,Business Laptops,HP
166,Galaxy Z Fold 6 1TB,Smartphones,Foldable Phones,Samsung
167,UltraSharp U2723QE 27 inch,monitors,Professional Monitors,dell
168,Inspiron 15 i7 32GB,laptops,Business Laptops,Dell
169,E24 Monitor 32 inch,monitors,Professional Monitors,HP
170,ROG Swift PG27 27 inch,monitors,Gaming Monitors,ASUS
171,EOS R100 White,Cameras,Compact Cameras,canon
172,RF 24-105mm F4,Cameras,Lenses,Canon
173,Spectre x360 14 i5 16GB,Laptops,Ultrabooks,HP
174,Galaxy Tab S10 512GB Cellular,Tablets,Mid-Range Tablets,samsung
175,MX Keys S Blue,Accessories,Keyboards,Logitech
176,MX Keys S White,Accessories,Keyboards,Logitech
177,ROG Zephyrus G14 i7 16GB,LAPTOPS,Gaming Laptops,ASUS
178,Galaxy S25 Ultra 512GB,Smartphones,Flagship Phones,SAMSUNG
179,Galaxy S25 Ultra 256GB,SMARTPHONES,Flagship Phones,samsung
180,iMac 24 Black,DESKTOPS,All-in-One,Apple
181,Alpha A7C II Silver,Cameras,Mirrorless Cameras,SONY
182,Galaxy Z Fold 6 256GB,Smartphones,Foldable Phones,samsung
183,EliteBook 840 i7 16GB,Laptops,Business Laptops,HP
184,Victus 15 i9 32GB,laptops,Gaming Laptops,hp
185,Apple Watch Series 10 White,Wearables,Smartwatches,APPLE
186,Swift Go 14 i7 32GB,Laptops,Ultrabooks,Acer
187,Apple Watch Series 10 Black,Wearables,Smartwatches,APPLE
188,Redmi Note 14 512GB,Smartphones,Mid-Range Phones,XIAOMI
189,Spectre x360 16 i9 32GB,Laptops,Ultrabooks,HP
190,iPad mini 512GB Cellular,Tablets,Compact Tablets,apple
191,Pavilion 15 i5 16GB,Laptops,Business Laptops,HP
192,Buds 5 Silver,Audio,Earbuds,XIAOMI
193,Galaxy Tab S10 256GB Cellular,TABLETS,Mid-Range Tablets,Samsung
194,Galaxy A56 1TB,Smartphones,Mid-Range Phones,Samsung
