SalesID,DateKey,CustomerKey,ProductKey,StoreKey,EmployeeKey,PromotionKey,Quantity,UnitPrice,Discount,SalesAmount,Cost,Profit,Performance
2,20230317,2183,52,50,191,7,3,2548.3,0.2,6115.92,4319.37,1796.55,Good
8,20230319,4308,42,31,176,1,1,559.98,0.0,559.98,442.94,117.04,Good
13,20231225,4349,516,47,6,9,2,140.39,0.3,196.55,163.69,32.86,Average
16,20231006,911,274,29,30,1,1,1348.65,0.0,1348.65,836.16,512.49,Excellent
20,20230102,4622,602,22,112,1,1,1199.0,0.0,1199.0,824.91,374.09,Excellent
23,20230329,2577,600,39,229,1,1,2499.0,0.0,2499.0,1524.39,974.61,Excellent
25,20231127,2781,262,33,139,1,1,799.0,0.0,799.0,544.12,254.88,Excellent
30,20230405,861,480,22,191,1,1,1103.3,0.0,1103.3,803.2,300.1,Good
34,20231008,1527,332,36,47,1,3,179.0,0.0,537.0,429.6,107.4,Good
35,20230417,2580,130,37,199,1,1,1948.7,0.0,1948.7,1477.11,471.59,Good
37,20230805,704,130,2,31,1,1,1948.7,0.0,1948.7,1477.11,471.59,Good
57,20230425,272,576,28,28,1,2,349.0,0.0,698.0,490.69,207.31,Good
72,20230220,787,323,2,196,20,3,839.55,0.15,2140.85,1458.3,682.55,Excellent
73,20230926,4831,411,46,148,35,1,2299.0,0.15,1954.15,1652.98,301.17,Average
74,20230804,467,431,12,86,1,3,2463.55,0.0,7390.65,5217.8,2172.85,Good
80,20231103,2063,228,24,175,35,5,1199.0,0.15,5095.75,4256.45,839.3,Average
85,20230116,4568,373,16,179,1,1,670.88,0.0,670.88,405.88,265.0,Excellent
89,20231223,3905,653,36,241,1,3,279.0,0.0,837.0,620.22,216.78,Good
90,20230522,4779,93,17,205,27,1,99.99,0.08,91.99,66.09,25.9,Good
96,20230421,1216,279,17,157,1,1,908.7,0.0,908.7,506.15,402.55,Excellent
99,20230112,4588,566,23,159,1,1,549.0,0.0,549.0,427.67,121.33,Good
107,20230202,4689,157,19,95,28,1,322.92,0.1,290.63,194.72,95.91,Excellent
115,20230731,1543,332,44,160,7,3,179.0,0.2,429.6,429.6,0.0,Poor
122,20230515,703,273,24,2,1,1,1723.85,0.0,1723.85,1160.15,563.7,Excellent
124,20230923,1589,184,7,171,1,1,1303.55,0.0,1303.55,960.72,342.83,Good
131,20230826,4645,312,32,219,1,1,139.0,0.0,139.0,106.89,32.11,Good
137,20230516,4522,550,39,208,5,2,699.0,0.1,1258.2,838.8,419.4,Excellent
139,20231221,398,426,39,90,11,1,1199.0,0.25,899.25,684.63,214.62,Good
151,20230513,874,177,9,234,23,1,2068.85,0.2,1655.08,1282.69,372.39,Good
161,20231030,2911,138,18,89,31,1,1099.0,0.15,934.15,845.13,89.02,Average
171,20230824,373,527,25,176,1,1,943.65,0.0,943.65,529.39,414.26,Excellent
174,20230804,2749,672,42,169,24,1,99.0,0.2,79.2,68.41,10.79,Average
175,20230821,1708,556,18,126,12,1,2499.0,0.05,2374.05,1989.2,384.85,Average
182,20230122,47,343,18,15,1,1,2028.55,0.0,2028.55,1265.82,762.73,Excellent
184,20230628,3708,636,23,223,1,1,1999.0,0.0,1999.0,1259.37,739.63,Excellent
187,20230217,4106,59,16,196,30,3,1148.85,0.18,2826.17,2736.56,89.61,Poor
188,20230926,2461,106,37,174,1,4,1318.8,0.0,5275.2,3391.95,1883.25,Excellent
191,20231106,796,192,9,11,1,2,100.98,0.0,201.96,147.03,54.93,Good
192,20230802,4254,244,2,246,1,1,1298.7,0.0,1298.7,879.22,419.48,Excellent
194,20230430,75,560,23,120,1,1,499.0,0.0,499.0,356.78,142.22,
195,20230128,478,108,7,82,1,1,79.0,0.0,79.0,55.38,23.62,Good
200,20230604,4481,582,15,185,7,2,219.0,0.2,350.4,243.09,107.31,Excellent
203,20231007,1501,266,47,115,31,2,862.92,0.15,1466.96,1009.62,457.34,Excellent
209,20230428,3387,480,37,243,33,2,1103.3,0.12,1941.81,1606.4,335.41,Average
213,20230628,2341,484,21,207,1,3,2643.85,0.0,7931.55,5401.39,2530.16,Excellent
216,20230107,1064,528,7,19,1,1,899.0,0.0,899.0,516.92,382.08,Excellent
217,20230411,4076,245,12,107,20,1,799.0,0.15,679.15,629.61,49.54,Poor
223,20230527,4016,368,13,81,31,1,69.0,0.15,58.65,41.06,17.59,Good
225,20230628,1609,582,17,244,1,2,219.0,0.0,438.0,243.09,194.91,Excellent
230,20231111,3876,683,39,77,32,1,799.0,0.2,639.2,566.49,72.71,Average
236,20230927,4893,368,38,160,1,1,69.0,0.0,69.0,41.06,27.94,Excellent
242,20230905,127,585,1,56,2,2,249.0,0.15,423.3,377.48,45.82,Average
246,20230601,1277,351,1,184,1,1,1499.0,0.0,1499.0,1044.8,454.2,Excellent
257,20230216,4854,411,18,217,25,4,2299.0,0.28,6621.12,6611.92,9.2,Poor
261,20230321,4275,592,15,121,1,1,1599.0,0.0,1599.0,1226.43,372.57,Good
264,20230309,3491,41,46,52,34,2,3123.75,0.22,4873.05,4404.49,468.56,Average
265,20231229,1411,435,15,122,17,1,1078.92,0.18,884.71,858.82,25.89,Poor
283,20230110,1812,211,18,58,31,2,1688.7,0.15,2870.79,2252.73,618.06,Good
284,20230408,3978,82,13,33,14,3,808.65,0.1,2183.36,1625.39,557.97,Good
285,20231005,85,412,8,45,1,1,2248.75,0.0,2248.75,1691.06,557.69,Good
287,20230313,962,384,25,42,1,2,79.79,0.0,159.58,107.72,51.86,Excellent
290,20231004,4717,577,11,236,1,2,229.0,0.0,458.0,349.91,108.09,Good
307,20230412,183,610,47,106,1,3,1399.0,0.0,4197.0,2362.91,1834.09,Excellent
320,20231103,3638,407,15,100,1,1,628.6,0.0,628.6,480.88,147.72,Good
321,20230301,2329,150,11,161,1,1,169.0,0.0,169.0,123.54,45.46,Good
323,20230317,3302,320,46,5,28,5,782.88,0.1,3522.96,2481.73,1041.23,Good
324,20230909,4597,98,1,89,1,1,1213.65,0.0,1213.65,860.48,353.17,Good
330,20230602,4315,434,19,90,5,2,868.55,0.1,1563.39,1080.48,482.91,
335,20231129,4907,291,17,225,1,3,3623.55,0.0,10870.65,8489.98,2380.67,
342,20230110,4851,390,33,12,40,1,1078.8,0.18,884.62,753.0,131.62,Average
345,20230409,263,486,37,231,1,1,973.7,0.0,973.7,676.72,296.98,Excellent
357,20230224,89,305,38,7,17,1,1348.65,0.18,1105.89,1068.13,37.76,Poor
360,20231118,2096,670,17,195,1,5,99.0,0.0,495.0,358.38,136.62,Good
370,20230616,4721,693,23,160,1,4,1099.0,0.0,4396.0,2923.34,1472.66,Excellent
373,20230811,3628,696,1,197,31,2,599.0,0.15,1018.3,915.27,103.03,Average
378,20231124,3488,32,15,150,1,1,705.99,0.0,705.99,446.19,259.8,Excellent
382,20230728,2425,501,5,46,1,1,1299.0,0.0,1299.0,897.61,401.39,Excellent
387,20230530,4854,112,20,246,28,1,811.25,0.1,730.12,543.54,186.58,Good
389,20230220,4952,682,40,43,9,1,2499.0,0.3,1749.3,1801.78,-52.48,Poor
391,20230502,4496,390,16,149,2,1,1078.8,0.15,916.98,753.0,163.98,Average
394,20230715,2020,349,1,209,13,2,1231.05,0.4,1477.26,1905.67,-428.41,Poor
396,20230218,3237,460,31,136,1,2,655.49,0.0,1310.98,985.86,325.12,Good
398,20230203,3526,133,39,151,1,1,803.85,0.0,803.85,561.09,242.76,Excellent
400,20231128,325,418,49,143,1,1,4418.3,0.0,4418.3,2743.76,1674.54,Excellent
402,20231101,306,181,36,232,1,2,2242.98,0.0,4485.96,3041.48,1444.48,Excellent
409,20230111,2579,380,25,84,1,2,554.49,0.0,1108.98,653.19,455.79,Excellent
414,20230307,4431,31,46,51,1,1,1723.85,0.0,1723.85,1099.82,624.03,Excellent
419,20231107,1468,44,44,222,13,2,1438.8,0.4,1726.56,1749.58,-23.02,Poor
420,20230512,2922,260,20,3,13,1,1186.92,0.4,712.15,707.4,4.75,Poor
429,20230112,3931,292,31,132,37,1,976.35,0.2,781.08,650.25,130.83,Average
437,20231122,3248,150,46,132,21,1,169.0,0.1,152.1,123.54,28.56,Good
444,20230925,4782,282,34,221,1,4,172.38,0.0,689.52,413.71,275.81,Excellent
451,20230424,1905,627,38,62,15,1,2799.0,0.15,2379.15,2197.22,181.93,Poor
456,20231015,4349,569,23,33,1,1,1599.0,0.0,1599.0,1149.68,449.32,Good
468,20230214,2919,188,41,192,1,1,358.8,0.0,358.8,242.19,116.61,Excellent
469,20230823,536,655,46,236,21,3,1599.0,0.1,4317.3,3070.08,1247.22,Good
472,20231225,1881,626,3,197,1,1,139.0,0.0,139.0,94.1,44.9,Excellent
473,20231020,387,102,33,110,9,1,2608.55,0.3,1825.98,1515.57,310.41,Average
475,20230125,3926,624,36,236,27,3,349.0,0.08,963.24,810.38,152.86,Average
