Governorate,Latitude,Longitude
Cairo,30.0444,31.2357
Giza,30.0131,31.2089
Alexandria,31.2001,29.9187
Qalyubia,30.4459,31.2242
Dakahlia,31.0409,31.3785
Sharqia,30.7327,31.7195
Gharbia,30.8754,31.0335
Menoufia,30.5972,30.9876
Beheira,30.8481,30.3436
Kafr El Sheikh,31.1107,30.9388
Damietta,31.4165,31.8133
Port Said,31.2653,32.3019
Ismailia,30.5965,32.2715
Suez,29.9668,32.5498
Fayoum,29.3084,30.8428
Beni Suef,29.0661,31.0994
Minya,28.1099,30.7503
Asyut,27.1809,31.1837
Sohag,26.5569,31.6948
Qena,26.1551,32.716
Luxor,25.6872,32.6396
Aswan,24.0889,32.8998
Red Sea,26.8206,33.7869
New Valley,25.4477,30.5459
Matrouh,31.3543,27.2373
North Sinai,30.6045,34.0264
South Sinai,28.3891,33.9236
