StoreKey,StoreName,Year,TargetSalesAmount,TargetQuantity
1,City Stars,2021,2335000,1820
1,City Stars,2022,2284000,1910
1,City Stars,2023,2368000,2370
1,City Stars,2024,2945000,2500
1,City Stars,2025,2628000,2380
2,Mall of Egypt,2021,2067000,1870
2,Mall of Egypt,2022,2049000,1920
2,Mall of Egypt,2023,2438000,2130
2,Mall of Egypt,2024,2732000,2630
2,Mall of Egypt,2025,3128000,2810
3,Mall of Arabia,2021,1764000,2030
3,Mall of Arabia,2022,2716000,2290
3,Mall of Arabia,2023,2106000,2180
3,Mall of Arabia,2024,2677000,2580
3,Mall of Arabia,2025,3359000,2240
4,Cairo Festival City,2021,2309000,1780
4,Cairo Festival City,2022,2210000,1970
4,Cairo Festival City,2023,2684000,2230
4,Cairo Festival City,2024,2592000,2020
4,Cairo Festival City,2025,2335000,2220
5,Downtown Branch,2021,2043000,1700
5,Downtown Branch,2022,1921000,2130
5,Downtown Branch,2023,2439000,1920
5,Downtown Branch,2024,2204000,2320
5,Downtown Branch,2025,2767000,2650
6,New Cairo Branch,2021,1450000,1590
6,New Cairo Branch,2022,1807000,2330
6,New Cairo Branch,2023,2600000,2440
6,New Cairo Branch,2024,2573000,2660
6,New Cairo Branch,2025,3284000,2610
7,Maadi Branch,2021,2446000,1750
7,Maadi Branch,2022,1984000,2140
7,Maadi Branch,2023,1987000,2070
7,Maadi Branch,2024,2782000,2540
7,Maadi Branch,2025,2439000,2820
8,Nasr City Branch,2021,1787000,1690
8,Nasr City Branch,2022,2471000,2030
8,Nasr City Branch,2023,2464000,2080
8,Nasr City Branch,2024,2228000,2470
8,Nasr City Branch,2025,3112000,2560
9,Heliopolis Branch,2021,2452000,1960
9,Heliopolis Branch,2022,2364000,2060
9,Heliopolis Branch,2023,2741000,1990
9,Heliopolis Branch,2024,2833000,2470
9,Heliopolis Branch,2025,3026000,2620
10,Zamalek Branch,2021,1705000,1740
10,Zamalek Branch,2022,2436000,1910
10,Zamalek Branch,2023,2324000,1970
10,Zamalek Branch,2024,2397000,2210
10,Zamalek Branch,2025,2873000,2340
11,6th of October Branch,2021,1757000,1680
11,6th of October Branch,2022,1733000,1810
11,6th of October Branch,2023,2100000,2060
11,6th of October Branch,2024,2531000,2520
11,6th of October Branch,2025,2396000,2400
12,Sheikh Zayed Branch,2021,2203000,2010
12,Sheikh Zayed Branch,2022,1971000,2020
12,Sheikh Zayed Branch,2023,2230000,2340
12,Sheikh Zayed Branch,2024,2566000,2110
12,Sheikh Zayed Branch,2025,2595000,2550
13,Alexandria Branch,2021,1853000,1600
13,Alexandria Branch,2022,2310000,1840
13,Alexandria Branch,2023,2078000,2330
13,Alexandria Branch,2024,2625000,2160
13,Alexandria Branch,2025,2575000,2480
14,San Stefano Mall,2021,2079000,1800
14,San Stefano Mall,2022,1849000,1880
14,San Stefano Mall,2023,2797000,2230
14,San Stefano Mall,2024,2741000,2340
14,San Stefano Mall,2025,2919000,2520
15,Green Plaza Mall,2021,1982000,1980
15,Green Plaza Mall,2022,2677000,1800
15,Green Plaza Mall,2023,2415000,2210
15,Green Plaza Mall,2024,2252000,2680
15,Green Plaza Mall,2025,3099000,2270
16,Mansoura Branch,2021,1699000,1890
16,Mansoura Branch,2022,2056000,1910
16,Mansoura Branch,2023,2305000,1870
16,Mansoura Branch,2024,2120000,2290
16,Mansoura Branch,2025,3399000,2600
17,Tanta Branch,2021,2234000,1950
17,Tanta Branch,2022,1679000,1680
17,Tanta Branch,2023,2450000,2360
17,Tanta Branch,2024,2557000,2450
17,Tanta Branch,2025,2675000,2570
18,Zagazig Branch,2021,1737000,1600
18,Zagazig Branch,2022,2370000,1920
18,Zagazig Branch,2023,2651000,2100
18,Zagazig Branch,2024,2215000,2100
18,Zagazig Branch,2025,3227000,2790
19,Port Said Branch,2021,1794000,2100
19,Port Said Branch,2022,2325000,2160
19,Port Said Branch,2023,2063000,1950
19,Port Said Branch,2024,2762000,2310
19,Port Said Branch,2025,2889000,2390
20,Suez Branch,2021,2021000,1890
20,Suez Branch,2022,2537000,2190
20,Suez Branch,2023,2071000,1930
20,Suez Branch,2024,2367000,2770
20,Suez Branch,2025,2725000,2520
21,Ismailia Branch,2021,1997000,2110
21,Ismailia Branch,2022,2401000,2110
21,Ismailia Branch,2023,1948000,2210
21,Ismailia Branch,2024,2722000,2710
21,Ismailia Branch,2025,2598000,2210
22,Luxor Branch,2021,2145000,1990
22,Luxor Branch,2022,2485000,1810
22,Luxor Branch,2023,2227000,2030
22,Luxor Branch,2024,2463000,2290
22,Luxor Branch,2025,2550000,2700
23,Aswan Branch,2021,1777000,1970
23,Aswan Branch,2022,2384000,2010
23,Aswan Branch,2023,2307000,2180
23,Aswan Branch,2024,2602000,2690
23,Aswan Branch,2025,3243000,2810
24,Assiut Branch,2021,1678000,1860
24,Assiut Branch,2022,2465000,1980
24,Assiut Branch,2023,2154000,1950
24,Assiut Branch,2024,2356000,2230
24,Assiut Branch,2025,2923000,2560
25,Riyadh Park,2021,1880000,1950
25,Riyadh Park,2022,2310000,1900
25,Riyadh Park,2023,2727000,2450
25,Riyadh Park,2024,2646000,2380
25,Riyadh Park,2025,2299000,2690
26,Kingdom Centre,2021,2084000,1850
26,Kingdom Centre,2022,2229000,2190
26,Kingdom Centre,2023,2314000,2220
26,Kingdom Centre,2024,2143000,2350
26,Kingdom Centre,2025,2648000,2220
27,Granada Mall,2021,1885000,1750
27,Granada Mall,2022,2456000,2120
27,Granada Mall,2023,2198000,2180
27,Granada Mall,2024,3021000,2140
27,Granada Mall,2025,2817000,2930
28,Red Sea Mall,2021,2235000,1880
28,Red Sea Mall,2022,2222000,2170
28,Red Sea Mall,2023,2386000,2280
28,Red Sea Mall,2024,2622000,2370
28,Red Sea Mall,2025,2786000,2550
29,Mall of Arabia Jeddah,2021,1967000,1620
29,Mall of Arabia Jeddah,2022,1974000,2170
29,Mall of Arabia Jeddah,2023,2275000,1980
29,Mall of Arabia Jeddah,2024,2402000,2700
29,Mall of Arabia Jeddah,2025,2592000,2620
30,Dhahran Mall,2021,2276000,1890
30,Dhahran Mall,2022,2040000,2230
30,Dhahran Mall,2023,2095000,1990
30,Dhahran Mall,2024,2400000,2140
30,Dhahran Mall,2025,3072000,2480
31,Dubai Mall,2021,1759000,1910
31,Dubai Mall,2022,1885000,2060
31,Dubai Mall,2023,2149000,1950
31,Dubai Mall,2024,2327000,2480
31,Dubai Mall,2025,2453000,2400
32,Mall of the Emirates,2021,1930000,1690
32,Mall of the Emirates,2022,2178000,2280
32,Mall of the Emirates,2023,1955000,2230
32,Mall of the Emirates,2024,3084000,2540
32,Mall of the Emirates,2025,2813000,2440
33,Dubai Marina Branch,2021,1952000,1940
33,Dubai Marina Branch,2022,1736000,1710
33,Dubai Marina Branch,2023,2464000,2400
33,Dubai Marina Branch,2024,2587000,2370
33,Dubai Marina Branch,2025,2504000,2770
34,Yas Mall,2021,1973000,1870
34,Yas Mall,2022,2047000,1840
34,Yas Mall,2023,2277000,1950
34,Yas Mall,2024,3023000,2260
34,Yas Mall,2025,2957000,2700
35,Abu Dhabi Mall,2021,1756000,1890
35,Abu Dhabi Mall,2022,2337000,1970
35,Abu Dhabi Mall,2023,2771000,1930
35,Abu Dhabi Mall,2024,2565000,2280
35,Abu Dhabi Mall,2025,2917000,2230
36,Sahara Centre,2021,2171000,2090
36,Sahara Centre,2022,1768000,1800
36,Sahara Centre,2023,2415000,2260
36,Sahara Centre,2024,2910000,2450
36,Sahara Centre,2025,2606000,2320
37,Villaggio Mall,2021,1617000,1890
37,Villaggio Mall,2022,2001000,1780
37,Villaggio Mall,2023,2365000,1930
37,Villaggio Mall,2024,2931000,2220
37,Villaggio Mall,2025,3036000,2330
38,The Avenues,2021,1603000,1720
38,The Avenues,2022,2545000,2170
38,The Avenues,2023,2693000,2160
38,The Avenues,2024,2828000,2660
38,The Avenues,2025,3101000,2610
39,Alexandria Outlet 39,2021,1999000,1740
39,Alexandria Outlet 39,2022,2093000,2000
39,Alexandria Outlet 39,2023,2585000,1960
39,Alexandria Outlet 39,2024,2451000,2600
39,Alexandria Outlet 39,2025,3125000,2760
40,Riyadh Outlet 40,2021,2029000,1510
40,Riyadh Outlet 40,2022,1812000,1960
40,Riyadh Outlet 40,2023,2640000,2330
40,Riyadh Outlet 40,2024,2644000,2280
40,Riyadh Outlet 40,2025,2598000,2320
41,Jeddah Outlet 41,2021,2204000,1720
41,Jeddah Outlet 41,2022,2354000,1900
41,Jeddah Outlet 41,2023,2536000,2090
41,Jeddah Outlet 41,2024,2219000,2470
41,Jeddah Outlet 41,2025,2987000,2740
42,Dubai Outlet 42,2021,2120000,2020
42,Dubai Outlet 42,2022,2300000,1730
42,Dubai Outlet 42,2023,2099000,2350
42,Dubai Outlet 42,2024,2713000,2330
42,Dubai Outlet 42,2025,2863000,2820
43,Cairo Outlet 43,2021,1551000,1640
43,Cairo Outlet 43,2022,2116000,2300
43,Cairo Outlet 43,2023,1849000,1870
43,Cairo Outlet 43,2024,2557000,2350
43,Cairo Outlet 43,2025,2479000,2760
44,Giza Outlet 44,2021,1992000,2020
44,Giza Outlet 44,2022,2048000,2230
44,Giza Outlet 44,2023,2581000,2420
44,Giza Outlet 44,2024,2275000,2110
44,Giza Outlet 44,2025,3427000,2520
45,Alexandria Outlet 45,2021,2041000,1700
45,Alexandria Outlet 45,2022,1998000,1740
45,Alexandria Outlet 45,2023,2201000,1850
45,Alexandria Outlet 45,2024,2756000,2180
45,Alexandria Outlet 45,2025,2457000,2530
46,Riyadh Outlet 46,2021,1661000,1760
46,Riyadh Outlet 46,2022,2419000,2010
46,Riyadh Outlet 46,2023,2331000,2330
46,Riyadh Outlet 46,2024,2420000,2230
46,Riyadh Outlet 46,2025,3059000,2680
47,Jeddah Outlet 47,2021,1942000,2030
47,Jeddah Outlet 47,2022,1958000,2100
47,Jeddah Outlet 47,2023,2572000,2450
47,Jeddah Outlet 47,2024,2967000,2330
47,Jeddah Outlet 47,2025,2507000,2800
48,Online Store Egypt,2021,2175000,2060
48,Online Store Egypt,2022,1918000,2200
48,Online Store Egypt,2023,1980000,2130
48,Online Store Egypt,2024,3123000,2630
48,Online Store Egypt,2025,2227000,2410
49,Online Store Gulf,2021,1684000,2030
49,Online Store Gulf,2022,2612000,1930
49,Online Store Gulf,2023,2589000,1930
49,Online Store Gulf,2024,2495000,2450
49,Online Store Gulf,2025,2650000,2810
50,Online Store KSA,2021,2091000,1550
50,Online Store KSA,2022,2010000,2040
50,Online Store KSA,2023,2083000,1980
50,Online Store KSA,2024,2702000,2270
50,Online Store KSA,2025,2477000,2510
